2023-05-17 15:36:56,Tempo limite de 10 segundos atingido. Usando '2500' por padrão.
2023-05-17 15:36:56,"Digite o numero magico
 (deixe em branco para usar '1')"
2023-05-17 15:37:06,Tempo limite de 10 segundos atingido. Usando '1' por padrão.
2023-05-17 15:37:06,"('WINM23', 'mt.TIMEFRAME_M1', 1.0, 'versao3b', '09:10', '17:50', 1000.0, 2500.0, 1)"
2023-05-17 15:37:06,Inicialização concluída com sucesso!
2023-05-17 15:37:06,Agora são 15:37
2023-05-17 15:39:47,"Digite o codigo do papel
 (deixe em branco para usar 'WINM23')"
2023-05-17 15:39:50,"Digite o timeframe
 (deixe em branco para usar 'mt.TIMEFRAME_M1')"
2023-05-17 15:39:51,"Digite o tamanho do lote
 (deixe em branco para usar '1')"
2023-05-17 15:39:51,"Digite um comentário
 (deixe em branco para usar 'versao3b')"
2023-05-17 15:39:51,"Digite a hora de início
 (deixe em branco para usar '09:10')"
2023-05-17 15:39:51,"Digite a hora de fim
 (deixe em branco para usar '17:50')"
2023-05-17 15:39:51,"Digite o valor de perda
 (deixe em branco para usar '1000')"
2023-05-17 15:39:51,"Digite o valor de ganho
 (deixe em branco para usar '2500')"
2023-05-17 15:39:52,"Digite o numero magico
 (deixe em branco para usar '1')"
2023-05-17 15:39:52,"('WINM23', 'mt.TIMEFRAME_M1', 1.0, 'versao3b', '09:10', '17:50', 1000.0, 2500.0, 1)"
2023-05-17 15:39:52,Inicialização concluída com sucesso!
2023-05-17 15:39:52,Agora são 15:39
2023-05-17 15:41:59,"Digite o codigo do papel
 (deixe em branco para usar 'WINM23')"
2023-05-17 15:42:03,"Digite o timeframe
 (deixe em branco para usar 'mt.TIMEFRAME_M1')"
2023-05-17 15:42:03,"Digite o tamanho do lote
 (deixe em branco para usar '1')"
2023-05-17 15:42:03,"Digite um comentário
 (deixe em branco para usar 'versao3b')"
2023-05-17 15:42:04,"Digite a hora de início
 (deixe em branco para usar '09:10')"
2023-05-17 15:42:04,"Digite a hora de fim
 (deixe em branco para usar '17:50')"
2023-05-17 15:42:04,"Digite o valor de perda
 (deixe em branco para usar '1000')"
2023-05-17 15:42:04,"Digite o valor de ganho
 (deixe em branco para usar '2500')"
2023-05-17 15:42:04,"Digite o numero magico
 (deixe em branco para usar '1')"
2023-05-17 15:42:04,"('WINM23', 'mt.TIMEFRAME_M1', 1.0, 'versao3b', '09:10', '17:50', 1000.0, 2500.0, 1)"
2023-05-17 15:42:04,Inicialização concluída com sucesso!
2023-05-17 15:42:04,Agora são 15:42
2023-05-17 15:48:58,"Digite o codigo do papel
 (deixe em branco para usar 'WINM23')"
2023-05-17 15:49:02,"Digite o timeframe
 (deixe em branco para usar 'mt.TIMEFRAME_M1')"
2023-05-17 15:49:02,"Digite o tamanho do lote
 (deixe em branco para usar '1')"
2023-05-17 15:49:02,"Digite um comentário
 (deixe em branco para usar 'versao3b')"
2023-05-17 15:49:03,"Digite a hora de início
 (deixe em branco para usar '09:10')"
2023-05-17 15:49:03,"Digite a hora de fim
 (deixe em branco para usar '17:50')"
2023-05-17 15:49:03,"Digite o valor de perda
 (deixe em branco para usar '1000')"
2023-05-17 15:49:03,"Digite o valor de ganho
 (deixe em branco para usar '2500')"
2023-05-17 15:49:03,"Digite o numero magico
 (deixe em branco para usar '1')"
2023-05-17 15:49:03,"('WINM23', 'mt.TIMEFRAME_M1', 1.0, 'versao3b', '09:10', '17:50', 1000.0, 2500.0, 1)"
2023-05-17 15:49:03,Inicialização concluída com sucesso!
2023-05-17 15:49:03,Agora são 15:49
2023-05-17 15:51:00,"Digite o codigo do papel
 (deixe em branco para usar 'WINM23')"
2023-05-17 15:51:03,"Digite o timeframe
 (deixe em branco para usar 'mt.TIMEFRAME_M1')"
2023-05-17 15:51:03,"Digite o tamanho do lote
 (deixe em branco para usar '1')"
2023-05-17 15:51:03,"Digite um comentário
 (deixe em branco para usar 'versao3b')"
2023-05-17 15:51:03,"Digite a hora de início
 (deixe em branco para usar '09:10')"
2023-05-17 15:51:03,"Digite a hora de fim
 (deixe em branco para usar '17:50')"
2023-05-17 15:51:04,"Digite o valor de perda
 (deixe em branco para usar '1000')"
2023-05-17 15:51:04,"Digite o valor de ganho
 (deixe em branco para usar '2500')"
2023-05-17 15:51:04,"Digite o numero magico
 (deixe em branco para usar '1')"
2023-05-17 15:51:04,"('WINM23', 'mt.TIMEFRAME_M1', 1.0, 'versao3b', '09:10', '17:50', 1000.0, 2500.0, 1)"
2023-05-17 15:51:04,Inicialização concluída com sucesso!
2023-05-17 15:51:04,Agora são 15:51
2023-05-17 15:51:52,sair da compra
2023-05-17 15:51:52,>>>Vendendo 1.0 de WINM23 preço 110320.0 com tp 107820.0 e sl 111320.0
2023-05-17 15:51:55,Cima
2023-05-17 15:52:05,>>>Comprando 1.0 de WINM23 preço 110360.0 com tp 112860.0 e sl 109360.0
2023-05-17 15:52:41,sair da compra
2023-05-17 15:52:41,>>>Vendendo 1.0 de WINM23 preço 110315.0 com tp 107815.0 e sl 111315.0
2023-05-17 15:53:12,Cima
2023-05-17 15:53:22,>>>Comprando 1.0 de WINM23 preço 110350.0 com tp 112850.0 e sl 109350.0
2023-05-17 15:54:46,sair da compra
2023-05-17 15:54:46,>>>Vendendo 1.0 de WINM23 preço 110330.0 com tp 107830.0 e sl 111330.0
2023-05-17 15:54:55,Cima
2023-05-17 15:55:05,>>>Comprando 1.0 de WINM23 preço 110345.0 com tp 112845.0 e sl 109345.0
2023-05-17 15:55:11,sair da compra
2023-05-17 15:55:11,>>>Vendendo 1.0 de WINM23 preço 110330.0 com tp 107830.0 e sl 111330.0
2023-05-17 15:57:09,Baixo
2023-05-17 15:57:19,>>>Vendendo 1.0 de WINM23 preço 110280.0 com tp 107780.0 e sl 111280.0
2023-05-17 16:01:04,sair da venda
